file,variable,latitude,longitude,ecco_mean,omg_mean,difference
CTD_20171015_100856.nc,THETA,67.48168182373047,-32.772701263427734,2.770213,1.4902258,-1.2799871
CTD_20171015_152820.nc,THETA,66.83463287353516,-27.66482925415039,1.0231345,0.6531792,-0.36995524
CTD_20171018_170019.nc,THETA,75.40706634521484,-68.26664733886719,-0.2938706,1.0055515,1.299422
CTD_20171023_153140.nc,THETA,70.90878295898438,-53.6773796081543,0.6101447,1.7631387,1.1529939
CTD_20160916_140334.nc,SALT,74.73277282714844,-65.24624633789062,33.78817,34.06748,0.27930832
CTD_20160928_154417.nc,SALT,75.95733642578125,-59.61069107055664,32.337997,33.87655,1.5385513
CTD_20160923_153439.nc,SALT,81.22250366210938,-64.78015899658203,33.36024,33.92207,0.5618286
CTD_20160914_145226.nc,SALT,69.19828033447266,-52.412818908691406,33.522415,34.09622,0.57380295
CTD_20160924_155359.nc,SALT,73.73886108398438,-61.26927947998047,33.520714,34.140453,0.61973953
CTD_20160928_133513.nc,SALT,74.03338623046875,-58.2613410949707,33.440243,33.564255,0.12401199
CTD_20160928_130838.nc,SALT,74.64826202392578,-61.149200439453125,33.81698,34.303272,0.4862938
CTD_20160914_113251.nc,SALT,67.74603271484375,-58.61214828491211,33.44183,33.827286,0.3854561
CTD_20160913_154431.nc,SALT,64.77964782714844,-53.0094108581543,33.67671,34.152752,0.4760437
CTD_20160928_131853.nc,SALT,74.524169921875,-60.02251052856445,33.753014,34.295845,0.5428314
CTD_20160929_145648.nc,SALT,71.98985290527344,-17.682830810546875,34.213833,34.883743,0.66991043
CTD_20160924_163708.nc,SALT,71.98094177246094,-59.961429595947266,33.42962,34.204933,0.77531433
CTD_20160929_150010.nc,SALT,71.91944122314453,-17.121719360351562,34.33148,34.872425,0.54094696
CTD_20160924_161112.nc,SALT,73.0257568359375,-63.04066848754883,33.78514,34.26499,0.47985077
CTD_20160919_105644.nc,SALT,74.83074951171875,-16.701690673828125,33.550663,34.22017,0.6695061
